Region_RU,Region_EN,AVG_Salary,Population,
Алтайский край,Altai Region,25960,218866,
Амурская область,Amur Region,43156,793194,
Архангельская область,Arkhangelsk Region,47526,1144119,
Астраханская область,Astrakhan Region,32166,1014065,
Белгородская область,Belgorod Region,31163,1547418,
Брянская область,Bryansk Region,27403,1200187,
Владимирская область,Vladimir Region,31647,1365805,
Волгоградская область,Volgograd Region,30097,2327821,
Вологодская область,Vologda Region,36081,1167713,
Воронежская область,Voronezh Region,31286,2327821,
г Москва,Moscow,78946,12615279,
г Санкт-Петербург,St Petersburg,58310,5383890,
г Севастополь,Sevastopol,31008,443212,
Еврейская АО,The Jewish Autonomous Region,39797,159913,
Забайкальский край,Zabaikalsky Region,40728,1065785,
Ивановская область,Ivanovo Region,26053,1004180,
Иркутская область,Irkutsk Region,42921,2397763,
Кабардино-Балкарская Республика,Kabardino-Balkar Republic,25318,866219,
Калининградская область,Kaliningrad Region,32473,1002187,
Калужская область,Kaluga Region,38005,1009380,
Камчатский край,Kamchatka,71553,314723,
Карачаево-Черкесская Республика,Karachay-Cherkess Republic,25699,465563,
Кемеровская область,Kemerovo Region,37857,2674256,
Кировская область,Kirov Region,27580,1272109,
Костромская область,Kostroma Region,27948,637267,
Краснодарский край,Krasnodar Region,33258,5648235,
Красноярский край,Krasnoyarsk Region,44692,2874026,
Курганская область,Kurgan Region,27887,834701,
Курская область,Kursk Region,30125,1107041,
Ленинградская область,Leningrad Region,42434,1847867,
Липецкая область,Lipetsk Region,30775,1144035,
Магаданская обл,Magadan Region,101662,141234,
Московская обл,Moscow Region,50135,7599647,
Мурманская обл,Murmansk Region,56005,748056,
Ненецкий АО,Nenets Autonomous Okrug,77277,43829,
Нижегородская область,Nizhny Novgorod Region,32973,3214623,
Новгородская область,Novgorod Region,30820,600296,
Новосибирская область,Novosibirsk Region,36048,2793384,
Омская область,Omsk Region,32013,1944195,
Оренбургская область,Orenburg Region,29892,1963007,
Орловская область,Orel,26834,739467,
Пензенская область,Penza Region,30112,1318103,
Пермский край,Perm Region,34809,2610800,
Приморский край,Primorsky Region,42026,1902718,
Псковская область,Pskov Region,27339,629651,
Республика Адыгея,Adygeya Republic,27455,454744,
Республика Алтай,Altai Republic,37764,218866,
Республика Башкортостан,Republic of Bashkortostan,33137,4051005,
Республика Бурятия,Republic of Buryatia,37867,983273,
Республика Дагестан,Republic of Dagestan,24550,3086126,
Республика Ингушетия,Ingush Republic,25663,497393,
Республика Калмыкия,Republic of Kalmykia,25719,272647,
Республика Карелия,Republic of Karelia,39755,618056,
Республика Коми,Republic of Komi,48316,830235,
Республика Крым,Republic of Crimea,28400,1911818,
Республика Марий Эл,Republic of Mari El,28232,680380,
Республика Мордовия,Republic of Mordovia,26999,795504,
Республика Саха (Якутия),The Republic of Sakha (Yakutia),65881,967009,
Республика Северная Осетия - Алания,Republic of North Ossetia-Alania,26108,699253,
Республика Татарстан,Republic of tatarstan,35722,3898628,
Республика Тыва,Republic of tuva,35619,324423,
Республика Хакасия,Republic of Khakassia,37949,536167,
Ростовская область,Rostov Region,30647,4202320,
Рязанская область,Ryazan Region,31192,1114137,
Самарская область,Samara Region,33086,3183038,
Саратовская область,Saratov Region,26555,2440815,
Сахалинская обл,Sakhalin Region,73261,489638,
Свердловская область,Sverdlovsk Region,37605,4315699,
Смоленская область,Smolensk Region,29566,942363,
Ставропольский край,Stavropol Region,28256,2795243,
Тамбовская область,Tambov Region,26754,1015966,
Тверская область,Tver Region,30764,1269636,
Томская область,Tomsk Region,39707,1077442,
Тульская область,Tula Region,33933,1478818,
Тюменская обл,Tyumen Region,61937,3723969,
Удмуртская Республика,Udmurt Republic,31990,1507390,
Ульяновская область,Ulyanovsk Region,27927,1238416,
Хабаровский край,Khabarovsk Region,46583,1321473,
Ханты-Мансийский АО (Югра),Khanty-Mansiysk Autonomous Okrug (Ugra),62555,1663795,
Челябинская область,Chelyabinsk Region,34944,3475753,
Чеченская Республика,Republic of Chechnya,26108,1456951,
Чувашская Республика,Chuvash Republic,27028,1223395,
Чукотский АО,Chukotka AO,96930,49663,
Ямало-Ненецкий АО,Yamalo-Nenets Autonomous district,86560,541479,
Ярославская область,Yaroslavl Region,33882,1259612,